"問題ID","アルゴリズム","条件","被験者ID","実施日","設問","区分","項目","空欄","回答"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","5行目：変数 a に ＿＿、b に ＿＿ を設定し、余りを入れる変数 ＿＿ を宣言する。","3","r"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","10～14行目：b が ＿＿ でない間、r = ＿＿ を計算し、a に ＿＿、b に ＿＿ を代入する。","1","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","10～14行目：b が ＿＿ でない間、r = ＿＿ を計算し、a に ＿＿、b に ＿＿ を代入する。","2","a%b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","10～14行目：b が ＿＿ でない間、r = ＿＿ を計算し、a に ＿＿、b に ＿＿ を代入する。","3","b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","10～14行目：b が ＿＿ でない間、r = ＿＿ を計算し、a に ＿＿、b に ＿＿ を代入する。","4","r"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","19行目：while文終了後、変数 ＿＿ の値を画面へ出力する。","1","a"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q4","","23行目：main関数の戻り値として ＿＿ を返す。","1","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（1）処理対象と目的","処理対象：このプログラムは、5行目であらかじめ与えられた2つの整数 ＿＿ と ＿＿ を対象とする。","1","a"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（1）処理対象と目的","処理対象：このプログラムは、5行目であらかじめ与えられた2つの整数 ＿＿ と ＿＿ を対象とする。","2","b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（1）処理対象と目的","処理目的：2つの整数の ＿＿ を求める。","1","剰余"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（2）処理方法","繰り返し処理：b が ＿＿ でない間、a を b で割った余りを r に保存し、a を ＿＿、b を ＿＿ に更新する。","1","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（2）処理方法","繰り返し処理：b が ＿＿ でない間、a を b で割った余りを r に保存し、a を ＿＿、b を ＿＿ に更新する。","2","b"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（2）処理方法","繰り返し処理：b が ＿＿ でない間、a を b で割った余りを r に保存し、a を ＿＿、b を ＿＿ に更新する。","3","r"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（3）処理終了後の状態","終了条件：処理終了時、b の値は ＿＿ である。","1","0"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（3）処理終了後の状態","aの意味：処理終了時、a には入力された2つの整数の ＿＿ が保持されている。","1","あまりの数"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q5","（4）画面出力","出力処理：このソースコードは、処理終了後の変数 ＿＿ の値を画面へ出力する。","1","a"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q6","","自由記述","","Q1の最終状態がパッと思いつかなかった。"
"pA","ユークリッドの互除法","学習用","S01","2026-08-20","Q6","","理解度（1〜5）","","5"
